id,name,description,model_dependency,assurance_goals,attributes,example_use_cases,limitations,resources,complexity_rating,computational_cost_rating,category_tags
11,Taylor Decomposition,"Taylor Decomposition explains a prediction by using a Taylor series expansion of the model's prediction function around a given input. It breaks the prediction into components attributed to each feature (and combinations of features) by interpreting the series terms, giving an approximate contribution of each feature to the output.",Model-Specific,Explainability,"[{""type"": ""Explanatory Scope"", ""value"": ""Local""}]","[{""description"": ""Attributing feature contributions in complex models for specific predictions."", ""goal"": ""Explainability""}]","[{""description"": ""The approach is mathematically complex and can be computationally intensive; approximations may introduce error and it's mainly theoretical with limited tooling.""}]","[{""type"": ""Paper"", ""title"": ""Explaining Nonlinear Classification Decisions with Deep Taylor Decomposition (Montavon et al., 2017)"", ""url"": ""https://arxiv.org/abs/1512.02479""}]",5,4,#feature-analysis/importance-and-attribution
12,Sobol Indices,"Sobol Indices are global sensitivity analysis measures that quantify how much each input variable (and combinations of variables) contribute to the output's variance. They provide values for individual features and feature interactions, indicating the proportion of output variation each is responsible for in the model.",Model-Agnostic,Explainability,"[{""type"": ""Explanatory Scope"", ""value"": ""Global""}]","[{""description"": ""Understanding parameter impacts in environmental modeling outputs."", ""goal"": ""Explainability""}]","[{""description"": ""Requires a large number of model evaluations for accurate estimation; assumes independent input distributions and may be difficult to apply to high-dimensional inputs.""}]","[{""type"": ""Library"", ""title"": ""SALib (Python Sensitivity Analysis Library)"", ""url"": ""https://github.com/SALib/SALib""}]",4,5,#feature-analysis/interaction-analysis
13,Feature Interaction Detection (H-statistic),"The H-statistic measures the strength of interaction between two features in a model by comparing their combined effect on the prediction to the sum of their individual effects. A higher H-statistic for a feature pair means the model's prediction cannot be explained by additive effects of the two features alone, indicating a significant interaction.",Model-Agnostic,Explainability,"[{""type"": ""Explanatory Scope"", ""value"": ""Global""}]","[{""description"": ""Identifying significant interactions in healthcare predictive models."", ""goal"": ""Explainability""}]","[{""description"": ""Only captures pairwise interactions (or one feature vs all); relies on partial dependence which can be misleading if features are correlated or have complex interactions.""}]","[{""type"": ""Article"", ""title"": ""Interpretable ML Book – Friedman's H-Statistic"", ""url"": ""https://christophm.github.io/interpretable-ml-book/interaction.html""}]",4,4,#feature-analysis/interaction-analysis
14,Local Interpretable Model-Agnostic Explanations (LIME),"LIME explains an individual prediction by training a simple surrogate model around that specific data point. It perturbs the input data point to create synthetic data, gets the complex model's predictions for these new points, and then fits an interpretable model (like a small linear model) on this local dataset. The surrogate's parameters (or rules) then highlight which features of the original data point influenced the prediction the most in that locality.",Model-Agnostic,Explainability,"[{""type"": ""Explanatory Scope"", ""value"": ""Local""}]","[{""description"": ""Explaining why a customer was denied a loan by approximating the model's decision locally."", ""goal"": ""Explainability""}]","[{""description"": ""Explanations can vary with repeated runs due to randomness; the linear surrogate may not be faithful if the model behavior is highly non-linear in that locality.""}]","[{""type"": ""Paper"", ""title"": ""Why Should I Trust You? (Ribeiro et al., 2016)"", ""url"": ""https://dl.acm.org/doi/10.1145/2939672.2939778""}, {""type"": ""GitHub"", ""title"": ""LIME Library"", ""url"": ""https://github.com/marcotcr/lime""}]",2,3,#model-approximation/local-surrogates
15,Ridge Regression Surrogates,"This technique approximates a complex model by training a ridge regression (a linear model with L2 regularization) on the original model's predictions. The ridge regression serves as a global surrogate that balances fidelity and interpretability, capturing the main linear relationships that the complex model learned while ignoring noise due to regularization.",Model-Agnostic,Explainability,"[{""type"": ""Explanatory Scope"", ""value"": ""Global""}]","[{""description"": ""Summarizing complex model behavior for regulatory reporting in finance."", ""goal"": ""Explainability""}]","[{""description"": ""The surrogate only approximates the original model, potentially losing important non-linear behavior; requires a representative dataset to train the surrogate model.""}]","[{""type"": ""Article"", ""title"": ""Global Surrogate Models for Explainability"", ""url"": ""https://christophm.github.io/interpretable-ml-book/global.html""}]",3,2,#model-approximation/global-surrogates
16,Partial Dependence Plots (PDP),"Partial Dependence Plots illustrate how the predicted outcome changes as one (or two) features vary, averaging out the effects of all other features. They show the marginal effect of selected features on the model prediction by plotting the average prediction as a function of those features.",Model-Agnostic,Explainability,"[{""type"": ""Explanatory Scope"", ""value"": ""Global""}]","[{""description"": ""Understanding how changes in age affect predicted disease risk in medical models."", ""goal"": ""Explainability""}]","[{""description"": ""Assumes features are independent of others (due to averaging); can be misleading when features are correlated, and only shows average effects, not instance-specific.""}]","[{""type"": ""Transparency"", ""title"": ""Partial Dependence Plot Tutorial (Scikit-learn)"", ""url"": ""https://scikit-learn.org/stable/modules/partial_dependence.html""}]",2,2,#visualization-techniques/feature-visualization
17,Accumulated Local Effects Plots (ALE),"ALE plots show how features influence predictions, like PDPs, but they do so by calculating local changes in the prediction as the feature moves through its range. They accumulate these local effects and account for the presence of other features, making ALE plots more robust than PDPs when features are correlated.",Model-Agnostic,Explainability,"[{""type"": ""Explanatory Scope"", ""value"": ""Global""}]","[{""description"": ""Exploring the effect of house size on price predictions in real estate models with correlated features."", ""goal"": ""Explainability""}]","[{""description"": ""More complex to compute than PDP; still provides only average effects and can be harder to interpret for higher-order interactions beyond pairs.""}]","[{""type"": ""Article"", ""title"": ""ALE Plots – A Better PDP (Medium)"", ""url"": ""https://medium.com/@parrt/accumulated-local-effects-ale-plots-better-than-pdp-72a72fc88749""}]",3,2,#visualization-techniques/feature-visualization
18,Individual Conditional Expectation Plots (ICE),"ICE plots display the predicted output for individual instances as a function of a feature, with all other features held fixed for each instance. Each line on an ICE plot represents one instance's prediction trajectory as the feature of interest changes, revealing whether different instances are affected differently by that feature.",Model-Agnostic,Explainability,"[{""type"": ""Explanatory Scope"", ""value"": ""Local""}]","[{""description"": ""Visualizing how customers' predicted spending changes with income in consumer behavior models."", ""goal"": ""Explainability""}]","[{""description"": ""Plots can become cluttered with many instances; does not inherently summarize the overall effect without visual inspection, and still assumes fixed other features.""}]","[{""type"": ""Article"", ""title"": ""Interpreting ICE Plots"", ""url"": ""https://christophm.github.io/interpretable-ml-book/ice.html""}]",2,2,#visualization-techniques/feature-visualization
19,Saliency Maps,"Saliency maps highlight parts of an input (such as pixels in an image) that strongly influence the model's prediction. Typically computed via the gradient of the output with respect to the input, they produce a heatmap where brighter regions indicate greater influence on the model's decision.",Model-Specific,Explainability,"[{""type"": ""Explanatory Scope"", ""value"": ""Local""}]","[{""description"": ""Identifying regions contributing to tumor diagnosis in medical images."", ""goal"": ""Explainability""}]","[{""description"": ""Often noisy and sensitive to small perturbations; highlights may not correspond to human-understandable features, and they only indicate local gradient, not causal importance.""}]","[{""type"": ""Paper"", ""title"": ""Deep Inside Convolutional Networks (Simonyan et al., 2014)"", ""url"": ""https://arxiv.org/abs/1312.6034""}]",3,2,#visualization-techniques/model-behavior-visualization
20,Gradient-weighted Class Activation Mapping (Grad-CAM),"Grad-CAM produces a coarse localization map highlighting image regions important for a classification. It works by using the gradients of a target class flowing into the last convolutional layer of a CNN to weight the feature maps, and then projects these weights back to the image space as a heatmap of influential regions.",Model-Specific,Explainability,"[{""type"": ""Explanatory Scope"", ""value"": ""Local""}]","[{""description"": ""Visualizing parts of an image leading to a 'dog' classification in image recognition models."", ""goal"": ""Explainability""}]","[{""description"": ""Requires access to internal feature maps; resolution is limited to coarse feature map size, and it is specific to CNN-based vision models with recognizable layers.""}]","[{""type"": ""Paper"", ""title"": ""Grad-CAM: Visual Explanations (Selvaraju et al., 2017)"", ""url"": ""https://arxiv.org/abs/1610.02391""}]",3,2,#visualization-techniques/model-behavior-visualization
21,Occlusion Sensitivity,"Occlusion sensitivity tests which parts of the input are important by occluding (masking or removing) them and seeing how the model's prediction changes. For example, portions of an image can be covered up in a sliding window fashion; if the model's confidence drops significantly when a certain region is occluded, that region was important for the prediction.",Model-Specific,Explainability,"[{""type"": ""Explanatory Scope"", ""value"": ""Local""}]","[{""description"": ""Understanding which words affect sentiment prediction by masking them in NLP models."", ""goal"": ""Explainability""}]","[{""description"": ""Computationally expensive if many parts need to be occluded; choice of occlusion size can bias results, and it may not capture interactions if multiple parts jointly matter.""}]","[{""type"": ""Paper"", ""title"": ""Visualizing and Understanding CNNs (Zeiler & Fergus, 2014)"", ""url"": ""https://arxiv.org/abs/1311.2901""}]",2,4,#visualization-techniques/model-behavior-visualization
22,Attention Mechanisms in Neural Networks,"Attention mechanisms allow models, especially in sequence tasks like NLP, to weight different parts of the input when making predictions. Visualizing or examining the learned attention weights can provide insight into which parts of the input the model found most relevant for a given output. By looking at these attention heatmaps, we can interpret which parts of the input were most influential for the model's decision.",Model-Specific,Explainability,"[{""type"": ""Explanatory Scope"", ""value"": ""Local""}]","[{""description"": ""Analyzing which words a transformer model focuses on during machine translation tasks."", ""goal"": ""Explainability""}]","[{""description"": ""Attention weights are not always strongly correlated with importance; focusing solely on attention can be misleading ('attention is not explanation' debate) and only applies to models with attention layers.""}]","[{""type"": ""Article"", ""title"": ""Attention is not Explanation (Serrano & Smith, 2019)"", ""url"": ""https://arxiv.org/abs/1902.10186""}]",2,1,#visualization-techniques/model-behavior-visualization
23,Factor Analysis,"Factor analysis is a technique to discover latent variables (factors) that collectively explain the patterns observed in many features. It models each observed feature as a linear combination of a few underlying factors, thereby reducing dimensionality and potentially revealing the hidden structure or themes in the data.",Model-Agnostic,Explainability,"[{""type"": ""Explanatory Scope"", ""value"": ""Global""}]","[{""description"": ""Discovering underlying factors in psychological survey data for social science research."", ""goal"": ""Explainability""}]","[{""description"": ""Assumes linear relationships and normality; results (factors) can be abstract and not directly interpretable, and requires deciding on number of factors and rotation method.""}]","[{""type"": ""Book"", ""title"": ""Factor Analysis Explanation (Statistics Textbook)"", ""url"": ""https://www.statsoft.com/Textbook/Factor-Analysis""}]",3,3,#model-simplification/dimensionality-reduction
24,Principal Component Analysis (PCA),"PCA is a dimensionality reduction method that transforms the original features into a new set of orthogonal components (principal components) ordered by how much variance they explain in the data. By keeping only the top components, PCA provides a simpler representation of the data that captures the most important variance, which can aid visualization or reduce complexity.",Model-Agnostic,Explainability,"[{""type"": ""Explanatory Scope"", ""value"": ""Global""}]","[{""description"": ""Visualizing high-dimensional gene expression data in bioinformatics."", ""goal"": ""Explainability""}]","[{""description"": ""Principal components are linear combinations that may not correspond to clear real-world concepts; only captures linear variance and can be affected by scaling of features.""}]","[{""type"": ""Transparency"", ""title"": ""PCA - Sklearn User Guide"", ""url"": ""https://scikit-learn.org/stable/modules/decomposition.html#pca""}]",2,2,#visualization-techniques/dimensionality-reduction-visualization
25,t-SNE,"t-SNE (t-distributed Stochastic Neighbor Embedding) is a non-linear dimensionality reduction technique that visualizes high-dimensional data in 2D or 3D. It preserves local similarities, meaning points that are close in the original space remain close in the reduced space, making it effective for showing clusters and patterns that might not be visible with linear methods.",Model-Agnostic,Explainability,"[{""type"": ""Explanatory Scope"", ""value"": ""Global""}]","[{""description"": ""Visualizing clusters in high-dimensional word embeddings."", ""goal"": ""Explainability""}]","[{""description"": ""Results can vary between runs; may distort global structure in favor of local clustering and requires tuning (perplexity, iterations) to avoid misleading patterns.""}]","[{""type"": ""Article"", ""title"": ""How to Use t-SNE Effectively (Distill.pub)"", ""url"": ""https://distill.pub/2016/misread-tsne""}]",3,3,#visualization-techniques/dimensionality-reduction-visualization
26,UMAP,"UMAP is a non-linear dimensionality reduction technique, similar to t-SNE, aimed at visualizing high-dimensional data in 2D or 3D. It tends to preserve both local structure and some global structure of the data better than t-SNE, often producing more interpretable overall layouts of clusters.",Model-Agnostic,Explainability,"[{""type"": ""Explanatory Scope"", ""value"": ""Global""}]","[{""description"": ""Visualizing patterns in user behavior data for marketing analysis."", ""goal"": ""Explainability""}]","[{""description"": ""Choice of parameters (neighbors, min distance) affects outcome; like t-SNE, it can sometimes be difficult to interpret distances in the reduced space in terms of original features.""}]","[{""type"": ""Transparency"", ""title"": ""UMAP How-To Guide"", ""url"": ""https://umap-learn.readthedocs.io/en/latest/""}]",3,3,#visualization-techniques/dimensionality-reduction-visualization
27,Prototype and Criticism Models,"This approach identifies representative examples (prototypes) of the dataset and outlier or hard-to-represent examples (criticisms). Prototypes capture the typical patterns the model or data exhibits, while criticisms highlight where those patterns fail to cover, giving insight into the diversity and exceptions in the data or model behavior.",Model-Agnostic,Explainability,"[{""type"": ""Explanatory Scope"", ""value"": ""Global""}]","[{""description"": ""Selecting representative customer profiles for targeted marketing."", ""goal"": ""Explainability""}]","[{""description"": ""Determining prototypes/criticisms can be computationally complex for large datasets; results depend on the metric chosen and might not capture all important aspects of data variability.""}]","[{""type"": ""Paper"", ""title"": ""MMD-Critic: Prototypes and Criticisms (Kim et al., 2016)"", ""url"": ""https://papers.nips.cc/paper/2016/file/5680522b8e2bb01943234bceabde35a1-Paper.pdf""}]",4,3,#example-based-methods/prototype-and-criticism-methods
28,Influence Functions,"Influence functions estimate how a model's predictions would change if a particular training point were removed. By using a second-order Taylor approximation, they identify which training examples have the most influence (positive or negative) on a given prediction. This helps identify training data points that are most responsible for a particular prediction or for a model's behavior, which can be useful for debugging or understanding model decisions.",Model-Agnostic,Explainability,"[{""type"": ""Explanatory Scope"", ""value"": ""Global""}]","[{""description"": ""Debugging model predictions by identifying influential training data points."", ""goal"": ""Explainability""}]","[{""description"": ""Requires access to and differentiation through the training process; can be intractable for large models due to needing Hessian computations, and may not be accurate if model is highly non-convex.""}]","[{""type"": ""Paper"", ""title"": ""Understanding Black-box Predictions via Influence Functions (Koh & Liang, 2017)"", ""url"": ""https://arxiv.org/abs/1703.04730""}]",5,5,#example-based-methods/prototype-and-criticism-methods
29,Contrastive Explanation Method (CEM),CEM explains model decisions by producing contrastive examples: it finds the minimal changes to an input that would switch the model's prediction. It outputs pertinent negatives (what could be removed from the input to change the prediction) and pertinent positives (what minimal additional features would be needed to reach the same decision) as a way to highlight what is essential in the input for that prediction.,Model-Agnostic,Explainability,"[{""type"": ""Explanatory Scope"", ""value"": ""Local""}]","[{""description"": ""Explaining loan rejections by showing what changes would lead to approval."", ""goal"": ""Explainability""}]","[{""description"": ""Solving for pertinent positives/negatives requires iterative optimization per instance; results can be sensitive to parameter settings and might yield unrealistic contrastive inputs if constraints are not tight.""}]","[{""type"": ""Paper"", ""title"": ""Towards Contrastive Explanations with Pertinent Negatives (Dhurandhar et al., 2018)"", ""url"": ""https://papers.nips.cc/paper/2018/file/766ebcd59621e305170616ba3d3dac32-Paper.pdf""}]",5,4,#example-based-methods/counterfactual-explanations
31,ANCHOR,"ANCHOR generates precision if-then rules as explanations for individual predictions. It finds a minimal set of conditions (on input features) that 'anchor' the prediction, meaning that if those conditions are met, the model will almost always give the same prediction. These anchor rules are designed to be easily understood and highly predictive for that specific instance.",Model-Agnostic,Explainability,"[{""type"": ""Explanatory Scope"", ""value"": ""Local""}]","[{""description"": ""Generating rules to explain individual predictions in text classification."", ""goal"": ""Explainability""}]","[{""description"": ""Only provides explanations for individual predictions (local rules); may struggle with continuous features (usually requires discretization) and might not find an anchor if conditions are too strict.""}]","[{""type"": ""Paper"", ""title"": ""Anchors: High-Precision Model-Agnostic Explanations (Ribeiro et al., 2018)"", ""url"": ""https://www.aaai.org/ocs/index.php/AAAI/AAAI18/paper/view/16982/16015""}]",3,3,#rule-extraction/decision-rules
32,RuleFit,"RuleFit is a method that creates an interpretable model by combining linear terms with decision rules. It first extracts potential rules from ensemble trees, then builds a sparse linear model where those rules (binary conditions) and original features are used as predictors, with regularization to keep the model simple. The final model is a linear combination of a small set of rules and original features, balancing interpretability with predictive power.",Model-Agnostic,Explainability,"[{""type"": ""Explanatory Scope"", ""value"": ""Global""}]","[{""description"": ""Building interpretable models for predicting customer churn with rule-based explanations."", ""goal"": ""Explainability""}]","[{""description"": ""The resulting model can still have many rules, complicating interpretability; performance may lag behind black-box models if too few rules are allowed for simplicity.""}]","[{""type"": ""Paper"", ""title"": ""RuleFit: An Interpretable Model (Friedman & Popescu, 2008)"", ""url"": ""http://statweb.stanford.edu/~jhf/ftp/RuleFit.pdf""}]",3,3,#rule-extraction/decision-rules
33,Monte Carlo Dropout,"Monte Carlo Dropout uses dropout at prediction time to estimate model uncertainty. By running multiple forward passes with random dropout activated and observing the variation in outputs, it provides a distribution of predictions. A consistent prediction across runs indicates high confidence, while widely varying predictions indicate uncertainty.",Model-Specific,Explainability,"[{""type"": ""Explanatory Scope"", ""value"": ""Global""}]","[{""description"": ""Estimating prediction uncertainty in medical diagnosis models."", ""goal"": ""Explainability""}]","[{""description"": ""Only captures model uncertainty, not data uncertainty; requires multiple forward passes and results depend on dropout rate, which must be same as training to be meaningful.""}]","[{""type"": ""Paper"", ""title"": ""Dropout as a Bayesian Approximation (Gal & Ghahramani, 2016)"", ""url"": ""https://arxiv.org/abs/1506.02142""}]",3,3,#uncertainty-and-reliability/confidence-estimation
34,Out-of-DIstribution detector for Neural networks (ODIN),"ODIN is a technique to detect when an input to a neural network is something very different from what it was trained on (out-of-distribution). It works by scaling the model's outputs (using a temperature parameter) and adding a small perturbation to inputs to better separate the confidence scores for normal vs out-of-distribution examples. By examining the adjusted confidence score, ODIN can flag inputs that are likely far from the training distribution.",Model-Specific,Explainability,"[{""type"": ""Explanatory Scope"", ""value"": ""Global""}]","[{""description"": ""Detecting unusual inputs that a classifier wasn't trained on, like identifying when an image recognition model is shown a completely new object class."", ""goal"": ""Explainability""}]","[{""description"": ""Requires tuning (temperature and perturbation magnitude) which may vary across different out-of-distribution types; may still struggle with adversarial examples or inputs very similar to training data.""}]","[{""type"": ""Paper"", ""title"": ""Enhancing The Reliability of Out-of-distribution Image Detection (ODIN, 2018)"", ""url"": ""https://arxiv.org/abs/1706.02690""}]",4,3,#uncertainty-and-reliability/outlier-detection
35,Permutation Tests,"Permutation tests assess the significance of an observed result (like model accuracy or feature importance) by comparing it to what would happen purely by chance. This is done by randomly shuffling labels or data many times and calculating the result each time, building a distribution of outcomes under the null hypothesis (no real relationship). If the actual result is far out in the tail of this distribution, it is deemed statistically significant.",Model-Agnostic,Explainability,"[{""type"": ""Explanatory Scope"", ""value"": ""Global""}]","[{""description"": ""Validating that a feature is truly important by comparing its importance score to what would be expected from random noise."", ""goal"": ""Explainability""}]","[{""description"": ""Computationally expensive, especially for large datasets or models with long inference times; requires many permutations to get reliable p-values for strict significance thresholds.""}]","[{""type"": ""Article"", ""title"": ""Permutation Tests for ML Models"", ""url"": ""https://www.jmlr.org/papers/volume11/ojala10a/ojala10a.pdf""}]",3,4,#uncertainty-and-reliability/statistical-testing
37,Demographic Parity (Disparate Impact Assessment),"Demographic parity requires that prediction rates are the same across different demographic groups—for example, loan approval rates should be equal across racial categories. This metric helps identify algorithmic bias that could perpetuate or amplify social inequalities. By comparing outcome distributions across groups, it provides a straightforward way to detect potentially discriminatory patterns in model predictions.",Model-Agnostic,Fairness,"[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}]","[{""description"": ""Checking if a job candidate screening algorithm selects candidates from different gender groups at equal rates."", ""goal"": ""Fairness""}]","[{""description"": ""Can force ignoring relevant features that legitimately correlate with protected attributes; may reduce accuracy and can conflict with individual fairness notions.""}]","[{""type"": ""Paper"", ""title"": ""Fairness Through Awareness"", ""url"": ""https://arxiv.org/abs/1104.3913""}]",1,1,#fairness-assessment/group-fairness-metrics
38,Fairness-Aware Data Preprocessing,"Fairness-aware preprocessing transforms training data to remove or reduce bias before model training. Techniques include reweighting examples, transforming features to obscure protected attributes, or generating synthetic data with more balanced characteristics. By addressing bias at the data level, these methods can improve fairness across multiple downstream models without requiring model-specific modifications.",Model-Agnostic,Fairness,"[{""type"": ""Fairness Approach"", ""value"": ""Group Fairness""}]","[{""description"": ""Rebalancing a historical hiring dataset to counter past discrimination before training a resume screening model."", ""goal"": ""Fairness""}]","[{""description"": ""May reduce model accuracy; difficult to identify and remove all sources of bias, and some approaches can introduce new biases or distort important relationships.""}]","[{""type"": ""Paper"", ""title"": ""Data Preprocessing Techniques for Classification Without Discrimination"", ""url"": ""https://link.springer.com/article/10.1007/s10115-011-0463-8""}]",3,2,#fairness-mitigation/data-preprocessing
