id,name,description,model_dependency,assurance_goals,categories,subcategories,attributes,example_use_cases,limitations,resources,complexity_rating,computational_cost_rating
11,Taylor Decomposition,Decomposes predictions into contributions from individual features using a Taylor series expansion of the model's prediction function.,Model-Specific,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Feature Analysis""}]","[{""category"": ""Feature Analysis"", ""subcategory"": ""Importance and Attribution""}]","[{""type"": ""Scope"", ""value"": ""Local""}]","[{""description"": ""Attributing feature contributions in complex models for specific predictions."", ""goal"": ""Explainability""}]","[{""description"": ""The approach is mathematically complex and can be computationally intensive; approximations may introduce error and it's mainly theoretical with limited tooling.""}]","[{""type"": ""Paper"", ""title"": ""Explaining Nonlinear Classification Decisions with Deep Taylor Decomposition (Montavon et al., 2017)"", ""url"": ""https://arxiv.org/abs/1512.02479""}]",5,4
12,Sobol Indices,Quantifies the contribution of individual variables and their interactions to the output variance in sensitivity analysis.,Model-Agnostic,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Feature Analysis""}]","[{""category"": ""Feature Analysis"", ""subcategory"": ""Interaction Analysis""}]","[{""type"": ""Scope"", ""value"": ""Global""}]","[{""description"": ""Understanding parameter impacts in environmental modeling outputs."", ""goal"": ""Explainability""}]","[{""description"": ""Requires a large number of model evaluations for accurate estimation; assumes independent input distributions and may be difficult to apply to high-dimensional inputs.""}]","[{""type"": ""Library"", ""title"": ""SALib (Python Sensitivity Analysis Library)"", ""url"": ""https://github.com/SALib/SALib""}]",4,5
13,Feature Interaction Detection (H-statistic),Measures feature interaction by comparing joint contributions to the model with the sum of individual contributions.,Model-Agnostic,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Feature Analysis""}]","[{""category"": ""Feature Analysis"", ""subcategory"": ""Interaction Analysis""}]","[{""type"": ""Scope"", ""value"": ""Global""}]","[{""description"": ""Identifying significant interactions in healthcare predictive models."", ""goal"": ""Explainability""}]","[{""description"": ""Only captures pairwise interactions (or one feature vs all); relies on partial dependence which can be misleading if features are correlated or have complex interactions.""}]","[{""type"": ""Article"", ""title"": ""Interpretable ML Book – Friedman's H-Statistic"", ""url"": ""https://christophm.github.io/interpretable-ml-book/interaction.html""}]",4,4
14,LIME (Local Interpretable Model-Agnostic Explanations),Generates local surrogate models that approximate complex model behavior around a specific instance using interpretable models like linear models.,Model-Agnostic,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Model Approximation""}]","[{""category"": ""Model Approximation"", ""subcategory"": ""Local Surrogates""}]","[{""type"": ""Scope"", ""value"": ""Local""}]","[{""description"": ""Explaining why a customer was denied a loan by approximating the model's decision locally."", ""goal"": ""Explainability""}]","[{""description"": ""Explanations can vary with repeated runs due to randomness; the linear surrogate may not be faithful if the model behavior is highly non-linear in that locality.""}]","[{""type"": ""Paper"", ""title"": ""Why Should I Trust You? (Ribeiro et al., 2016)"", ""url"": ""https://dl.acm.org/doi/10.1145/2939672.2939778""}, {""type"": ""GitHub"", ""title"": ""LIME Library"", ""url"": ""https://github.com/marcotcr/lime""}]",2,3
15,Ridge Regression Surrogates,"Uses Ridge Regression as a surrogate to approximate global behavior of complex models, balancing simplicity and interpretability with regularization.",Model-Agnostic,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Model Approximation""}]","[{""category"": ""Model Approximation"", ""subcategory"": ""Global Surrogates""}]","[{""type"": ""Scope"", ""value"": ""Global""}]","[{""description"": ""Summarizing complex model behavior for regulatory reporting in finance."", ""goal"": ""Explainability""}]","[{""description"": ""The surrogate only approximates the original model, potentially losing important non-linear behavior; requires a representative dataset to train the surrogate model.""}]","[{""type"": ""Article"", ""title"": ""Global Surrogate Models for Explainability"", ""url"": ""https://christophm.github.io/interpretable-ml-book/global.html""}]",3,2
16,Partial Dependence Plots (PDP),"Visualizes the relationship between one or two features and the predicted outcome, averaging out effects of other features.",Model-Agnostic,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Visualization Techniques""}]","[{""category"": ""Visualization Techniques"", ""subcategory"": ""Feature Visualization""}]","[{""type"": ""Scope"", ""value"": ""Global""}]","[{""description"": ""Understanding how changes in age affect predicted disease risk in medical models."", ""goal"": ""Explainability""}]","[{""description"": ""Assumes features are independent of others (due to averaging); can be misleading when features are correlated, and only shows average effects, not instance-specific.""}]","[{""type"": ""Documentation"", ""title"": ""Partial Dependence Plot Tutorial (Scikit-learn)"", ""url"": ""https://scikit-learn.org/stable/modules/partial_dependence.html""}]",2,2
17,Accumulated Local Effects (ALE) Plots,"Similar to PDPs but account for feature interactions, providing accurate insights when features are correlated.",Model-Agnostic,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Visualization Techniques""}]","[{""category"": ""Visualization Techniques"", ""subcategory"": ""Feature Visualization""}]","[{""type"": ""Scope"", ""value"": ""Global""}]","[{""description"": ""Exploring the effect of house size on price predictions in real estate models with correlated features."", ""goal"": ""Explainability""}]","[{""description"": ""More complex to compute than PDP; still provides only average effects and can be harder to interpret for higher-order interactions beyond pairs.""}]","[{""type"": ""Article"", ""title"": ""ALE Plots – A Better PDP (Medium)"", ""url"": ""https://medium.com/@parrt/accumulated-local-effects-ale-plots-better-than-pdp-72a72fc88749""}]",3,2
18,Individual Conditional Expectation (ICE) Plots,"Shows how a feature affects predictions for individual instances, highlighting heterogeneous effects across data points.",Model-Agnostic,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Visualization Techniques""}]","[{""category"": ""Visualization Techniques"", ""subcategory"": ""Feature Visualization""}]","[{""type"": ""Scope"", ""value"": ""Local""}]","[{""description"": ""Visualizing how customers' predicted spending changes with income in consumer behavior models."", ""goal"": ""Explainability""}]","[{""description"": ""Plots can become cluttered with many instances; does not inherently summarize the overall effect without visual inspection, and still assumes fixed other features.""}]","[{""type"": ""Article"", ""title"": ""Interpreting ICE Plots"", ""url"": ""https://christophm.github.io/interpretable-ml-book/ice.html""}]",2,2
19,Saliency Maps,Highlights important pixels in input images that most influence the output prediction in computer vision models.,Model-Specific,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Visualization Techniques""}]","[{""category"": ""Visualization Techniques"", ""subcategory"": ""Model Behavior Visualization""}]","[{""type"": ""Scope"", ""value"": ""Local""}]","[{""description"": ""Identifying regions contributing to tumor diagnosis in medical images."", ""goal"": ""Explainability""}]","[{""description"": ""Often noisy and sensitive to small perturbations; highlights may not correspond to human-understandable features, and they only indicate local gradient, not causal importance.""}]","[{""type"": ""Paper"", ""title"": ""Deep Inside Convolutional Networks (Simonyan et al., 2014)"", ""url"": ""https://arxiv.org/abs/1312.6034""}]",3,2
20,Grad-CAM (Gradient-weighted Class Activation Mapping),Uses gradients to produce heatmaps highlighting image regions that contribute most to the model's output.,Model-Specific,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Visualization Techniques""}]","[{""category"": ""Visualization Techniques"", ""subcategory"": ""Model Behavior Visualization""}]","[{""type"": ""Scope"", ""value"": ""Local""}]","[{""description"": ""Visualizing parts of an image leading to a 'dog' classification in image recognition models."", ""goal"": ""Explainability""}]","[{""description"": ""Requires access to internal feature maps; resolution is limited to coarse feature map size, and it is specific to CNN-based vision models with recognizable layers.""}]","[{""type"": ""Paper"", ""title"": ""Grad-CAM: Visual Explanations (Selvaraju et al., 2017)"", ""url"": ""https://arxiv.org/abs/1610.02391""}]",3,2
21,Occlusion Sensitivity,Measures prediction changes by systematically occluding parts of the input to identify important regions or features.,Model-Specific,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Visualization Techniques""}]","[{""category"": ""Visualization Techniques"", ""subcategory"": ""Model Behavior Visualization""}]","[{""type"": ""Scope"", ""value"": ""Local""}]","[{""description"": ""Understanding which words affect sentiment prediction by masking them in NLP models."", ""goal"": ""Explainability""}]","[{""description"": ""Computationally expensive if many parts need to be occluded; choice of occlusion size can bias results, and it may not capture interactions if multiple parts jointly matter.""}]","[{""type"": ""Paper"", ""title"": ""Visualizing and Understanding CNNs (Zeiler & Fergus, 2014)"", ""url"": ""https://arxiv.org/abs/1311.2901""}]",2,4
22,Attention Mechanisms in Neural Networks,"Visualizes attention weights in models like transformers, highlighting important input parts for predictions.",Model-Specific,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Visualization Techniques""}]","[{""category"": ""Visualization Techniques"", ""subcategory"": ""Model Behavior Visualization""}]","[{""type"": ""Scope"", ""value"": ""Local""}]","[{""description"": ""Analyzing which words a transformer model focuses on during machine translation tasks."", ""goal"": ""Explainability""}]","[{""description"": ""Attention weights are not always strongly correlated with importance; focusing solely on attention can be misleading ('attention is not explanation' debate) and only applies to models with attention layers.""}]","[{""type"": ""Article"", ""title"": ""Attention is not Explanation (Serrano & Smith, 2019)"", ""url"": ""https://arxiv.org/abs/1902.10186""}]",2,1
23,Factor Analysis,"Reduces dimensionality by identifying latent factors explaining observed variability, aiding in data interpretation.",Model-Agnostic,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Model Simplification""}]","[{""category"": ""Model Simplification"", ""subcategory"": ""Dimensionality Reduction""}]","[{""type"": ""Scope"", ""value"": ""Global""}]","[{""description"": ""Discovering underlying factors in psychological survey data for social science research."", ""goal"": ""Explainability""}]","[{""description"": ""Assumes linear relationships and normality; results (factors) can be abstract and not directly interpretable, and requires deciding on number of factors and rotation method.""}]","[{""type"": ""Book"", ""title"": ""Factor Analysis Explanation (Statistics Textbook)"", ""url"": ""https://www.statsoft.com/Textbook/Factor-Analysis""}]",3,3
24,Principal Component Analysis (PCA),"Reduces dimensionality by projecting data onto directions of maximum variance, simplifying data while retaining important information.",Model-Agnostic,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Visualization Techniques""}]","[{""category"": ""Visualization Techniques"", ""subcategory"": ""Dimensionality Reduction Visualization""}]","[{""type"": ""Scope"", ""value"": ""Global""}]","[{""description"": ""Visualizing high-dimensional gene expression data in bioinformatics."", ""goal"": ""Explainability""}]","[{""description"": ""Principal components are linear combinations that may not correspond to clear real-world concepts; only captures linear variance and can be affected by scaling of features.""}]","[{""type"": ""Documentation"", ""title"": ""PCA - Sklearn User Guide"", ""url"": ""https://scikit-learn.org/stable/modules/decomposition.html#pca""}]",2,2
25,t-SNE,"A non-linear technique that visualizes high-dimensional data in 2D or 3D, preserving local relationships between points.",Model-Agnostic,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Visualization Techniques""}]","[{""category"": ""Visualization Techniques"", ""subcategory"": ""Dimensionality Reduction Visualization""}]","[{""type"": ""Scope"", ""value"": ""Global""}]","[{""description"": ""Visualizing clusters in high-dimensional word embeddings."", ""goal"": ""Explainability""}]","[{""description"": ""Results can vary between runs; may distort global structure in favor of local clustering and requires tuning (perplexity, iterations) to avoid misleading patterns.""}]","[{""type"": ""Article"", ""title"": ""How to Use t-SNE Effectively (Distill.pub)"", ""url"": ""https://distill.pub/2016/misread-tsne""}]",3,3
26,UMAP,A non-linear technique similar to t-SNE but better at preserving global data structure.,Model-Agnostic,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Visualization Techniques""}]","[{""category"": ""Visualization Techniques"", ""subcategory"": ""Dimensionality Reduction Visualization""}]","[{""type"": ""Scope"", ""value"": ""Global""}]","[{""description"": ""Visualizing patterns in user behavior data for marketing analysis."", ""goal"": ""Explainability""}]","[{""description"": ""Choice of parameters (neighbors, min distance) affects outcome; like t-SNE, it can sometimes be difficult to interpret distances in the reduced space in terms of original features.""}]","[{""type"": ""Documentation"", ""title"": ""UMAP How-To Guide"", ""url"": ""https://umap-learn.readthedocs.io/en/latest/""}]",3,3
27,Prototype and Criticism Models,Identifies representative (prototypes) and non-representative (criticisms) examples to summarize and highlight model behavior.,Model-Agnostic,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Example-Based Methods""}]","[{""category"": ""Example-Based Methods"", ""subcategory"": ""Prototype and Criticism Methods""}]","[{""type"": ""Scope"", ""value"": ""Global""}]","[{""description"": ""Selecting representative customer profiles for targeted marketing."", ""goal"": ""Explainability""}]","[{""description"": ""Determining prototypes/criticisms can be computationally complex for large datasets; results depend on the metric chosen and might not capture all important aspects of data variability.""}]","[{""type"": ""Paper"", ""title"": ""MMD-Critic: Prototypes and Criticisms (Kim et al., 2016)"", ""url"": ""https://papers.nips.cc/paper/2016/file/5680522b8e2bb01943234bceabde35a1-Paper.pdf""}]",4,3
28,Influence Functions,Measures the impact of training examples on model predictions to identify influential data points.,Model-Agnostic,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Example-Based Methods""}]","[{""category"": ""Example-Based Methods"", ""subcategory"": ""Prototype and Criticism Methods""}]","[{""type"": ""Scope"", ""value"": ""Global""}]","[{""description"": ""Debugging model predictions by identifying influential training data points."", ""goal"": ""Explainability""}]","[{""description"": ""Requires access to and differentiation through the training process; can be intractable for large models due to needing Hessian computations, and may not be accurate if model is highly non-convex.""}]","[{""type"": ""Paper"", ""title"": ""Understanding Black-box Predictions via Influence Functions (Koh & Liang, 2017)"", ""url"": ""https://arxiv.org/abs/1703.04730""}]",5,5
29,Contrastive Explanation Method (CEM),"Generates explanations by identifying minimal input changes that result in different outcomes, offering counterfactual reasoning.",Model-Agnostic,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Example-Based Methods""}]","[{""category"": ""Example-Based Methods"", ""subcategory"": ""Counterfactual Explanations""}]","[{""type"": ""Scope"", ""value"": ""Local""}]","[{""description"": ""Explaining loan rejections by showing what changes would lead to approval."", ""goal"": ""Explainability""}]","[{""description"": ""Solving for pertinent positives/negatives requires iterative optimization per instance; results can be sensitive to parameter settings and might yield unrealistic contrastive inputs if constraints are not tight.""}]","[{""type"": ""Paper"", ""title"": ""Towards Contrastive Explanations with Pertinent Negatives (Dhurandhar et al., 2018)"", ""url"": ""https://papers.nips.cc/paper/2018/file/766ebcd59621e305170616ba3d3dac32-Paper.pdf""}]",5,4
30,"Bayesian Networks (e.g., bnlearn)",Probabilistic graphical models representing variables and their conditional dependencies for causal reasoning.,Model-Specific,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Example-Based Methods""}]","[{""category"": ""Example-Based Methods"", ""subcategory"": ""Causal Analysis""}]","[{""type"": ""Scope"", ""value"": ""Global""}]","[{""description"": ""Modeling causal relationships in gene regulatory networks."", ""goal"": ""Explainability""}]","[{""description"": ""Learning the network structure from data is NP-hard for many variables; causal conclusions require correct model specification and may be invalid if important variables are omitted.""}]","[{""type"": ""Library"", ""title"": ""bnlearn Package (Bayesian Networks in R)"", ""url"": ""https://cran.r-project.org/web/packages/bnlearn/index.html""}]",4,4
31,ANCHOR,"Provides high-precision if-then rules for specific predictions, explaining which features are responsible for the decision.",Model-Agnostic,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Rule Extraction""}]","[{""category"": ""Rule Extraction"", ""subcategory"": ""Decision Rules""}]","[{""type"": ""Scope"", ""value"": ""Local""}]","[{""description"": ""Generating rules to explain individual predictions in text classification."", ""goal"": ""Explainability""}]","[{""description"": ""Only provides explanations for individual predictions (local rules); may struggle with continuous features (usually requires discretization) and might not find an anchor if conditions are too strict.""}]","[{""type"": ""Paper"", ""title"": ""Anchors: High-Precision Model-Agnostic Explanations (Ribeiro et al., 2018)"", ""url"": ""https://www.aaai.org/ocs/index.php/AAAI/AAAI18/paper/view/16982/16015""}]",3,3
32,RuleFit,Combines decision rules with linear models to provide interpretable models capturing non-linear patterns.,Model-Agnostic,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Rule Extraction""}]","[{""category"": ""Rule Extraction"", ""subcategory"": ""Decision Rules""}]","[{""type"": ""Scope"", ""value"": ""Global""}]","[{""description"": ""Building interpretable models for predicting customer churn with rule-based explanations."", ""goal"": ""Explainability""}]","[{""description"": ""The resulting model can still have many rules, complicating interpretability; performance may lag behind black-box models if too few rules are allowed for simplicity.""}]","[{""type"": ""Paper"", ""title"": ""RuleFit: An Interpretable Model (Friedman & Popescu, 2008)"", ""url"": ""http://statweb.stanford.edu/~jhf/ftp/RuleFit.pdf""}]",3,3
33,Monte Carlo Dropout,Uses dropout at inference time in deep learning models to estimate uncertainty by approximating Bayesian inference.,Model-Specific,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Uncertainty and Reliability""}]","[{""category"": ""Uncertainty and Reliability"", ""subcategory"": ""Confidence Estimation""}]","[{""type"": ""Scope"", ""value"": ""Global""}]","[{""description"": ""Estimating prediction uncertainty in medical diagnosis models."", ""goal"": ""Explainability""}]","[{""description"": ""Only captures model uncertainty, not data uncertainty; requires multiple forward passes and results depend on dropout rate, which must be same as training to be meaningful.""}]","[{""type"": ""Paper"", ""title"": ""Dropout as a Bayesian Approximation (Gal & Ghahramani, 2016)"", ""url"": ""https://arxiv.org/abs/1506.02142""}]",3,3
34,ODIN (Out-of-DIstribution detector for Neural networks),Detects out-of-distribution samples in neural networks by applying temperature scaling and input perturbations.,Model-Specific,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Uncertainty and Reliability""}]","[{""category"": ""Uncertainty and Reliability"", ""subcategory"": ""Out-of-Distribution Detection""}]","[{""type"": ""Scope"", ""value"": ""Global""}]","[{""description"": ""Identifying when an image classifier encounters novel inputs."", ""goal"": ""Explainability""}]","[{""description"": ""Needs tuning of temperature and noise magnitude via a calibration set; method effectiveness can vary across datasets and it adds a small overhead to inference.""}]","[{""type"": ""Paper"", ""title"": ""ODIN: Out-of-Distribution Detector (Liang et al., 2018)"", ""url"": ""https://arxiv.org/abs/1706.02690""}]",4,2
35,Permutation Tests,Estimates uncertainty by permuting data labels and calculating test statistics to create a null distribution in non-parametric methods.,Model-Agnostic,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Uncertainty and Reliability""}]","[{""category"": ""Uncertainty and Reliability"", ""subcategory"": ""Uncertainty Quantification""}]","[{""type"": ""Scope"", ""value"": ""Global""}]","[{""description"": ""Assessing the significance of model predictions in hypothesis testing."", ""goal"": ""Explainability""}]","[{""description"": ""Requires many permutations for reliable p-values, especially for small effects; does not pinpoint cause of model issues, only provides statistical significance of performance.""}]","[{""type"": ""Article"", ""title"": ""Permutation Tests in ML (Blog)"", ""url"": ""https://towardsdatascience.com/understanding-permutation-tests-391aff0aff7d""}]",3,4
36,"Fairness Metrics (e.g., Equalized Odds, Demographic Parity)",Evaluates models for fairness by measuring disparities in predictions across different demographic groups.,Model-Agnostic,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Fairness Explanations""}]","[{""category"": ""Fairness Explanations"", ""subcategory"": ""Bias Detection and Mitigation""}]","[{""type"": ""Scope"", ""value"": ""Global""}]","[{""description"": ""Ensuring a hiring model does not discriminate based on gender or ethnicity."", ""goal"": ""Explainability""}]","[{""description"": ""Each metric addresses a specific notion of fairness and may conflict with others; they require true outcome labels for evaluation and do not directly tell how to fix bias.""}]","[{""type"": ""Survey"", ""title"": ""Fairness Definitions Explained (Verma & Rubin, 2018)"", ""url"": ""https://arxiv.org/abs/1802.04896""}]",2,1
37,Model Pruning,"Simplifies neural networks by removing less important weights or neurons, reducing complexity while retaining performance.",Model-Specific,Explainability,"[{""goal"": ""Explainability"", ""category"": ""Model Simplification""}]","[{""category"": ""Model Simplification"", ""subcategory"": ""Model Pruning""}]","[{""type"": ""Scope"", ""value"": ""Global""}]","[{""description"": ""Reducing model size for deployment on mobile devices without significant loss in accuracy."", ""goal"": ""Explainability""}]","[{""description"": ""Over-pruning can significantly reduce accuracy; finding the right pruning threshold is trial-and-error, and pruned models may still be complex to interpret if remaining structure is not simple.""}]","[{""type"": ""Paper"", ""title"": ""Learning to Prune Deep Neural Networks (Han et al., 2015)"", ""url"": ""https://arxiv.org/abs/1506.02626""}]",3,2
